key,english
Transactions by order type,Transactions by order type
info_order_type_analytics_in_sales,info_order_type_analytics_in_sales
ORDER TYPE,ORDER TYPE
no_data_order_type_analytics_in_sales,no_data_order_type_analytics_in_sales
